127.0.0.1 - - [08/Dec/2021:09:33:54 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:33:57 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:41:14 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:41:19 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:41:19 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:41:19 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:41:19 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:41:20 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:41:20 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:42:01 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:42:35 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:42:35 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:42:35 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:43:19 +0900] "GET /jQuery-Ajax2/step20-jquery-event.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:49:36 +0900] "GET /jQuery-Ajax2/step21-select-option.jsp HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:50:20 +0900] "GET /jQuery-Ajax2/step21-select-option.jsp HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:50:59 +0900] "GET /jQuery-Ajax2/step21-select-option.jsp HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:53:26 +0900] "GET /jQuery-Ajax2/step21-select-option.jsp HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [08/Dec/2021:09:53:57 +0900] "GET /jQuery-Ajax2/step21-select-option.jsp HTTP/1.1" 200 1443
